Date,c,o,h,l,v
2015-11-23,271.1342514836,266.4688538051,271.1342514836,264.13615496585,922
2015-11-24,272.30060090322,271.1342514836,272.30060090322,267.86847310865,2732
2015-11-25,269.03482252827,271.83406113537,271.83406113537,269.03482252827,2100
2015-11-26,271.1342514836,271.1342514836,271.1342514836,271.1342514836,100
2015-11-29,267.63520322472,267.63520322472,267.63520322472,259.47075728735,1241
2015-12-01,279.29869742097,267.63520322472,279.29869742097,271.1342514836,1943
2015-12-02,272.76714067107,274.63329974247,274.63329974247,271.1342514836,1489
2015-12-03,276.96599858172,277.19926846564,281.86466614414,275.79964916209,1739
2015-12-04,281.63139626022,277.19926846564,285.13044451909,277.19926846564,2096
2015-12-07,281.63139626022,286.29679393872,290.96219161721,278.13234800134,1157
2015-12-08,282.79774567984,280.46504684059,286.29679393872,278.36561788527,2500
2015-12-09,287.46314335834,286.29679393872,287.46314335834,285.13044451909,3062
2015-12-10,290.96219161721,287.92968312619,297.72701825104,287.92968312619,4169
2015-12-13,300.29298697421,293.29489045646,306.59127384018,293.29489045646,7133
2015-12-14,306.12473407233,304.02530511701,306.59127384018,302.62568581346,4788
2015-12-15,319.8876572239,311.25667151868,327.58556339342,311.25667151868,9928
2015-12-16,318.9545776882,325.25286455417,325.95267420595,306.12473407233,5052
2015-12-17,310.79013175083,314.52244989363,314.52244989363,308.45743291158,6333
2015-12-20,316.1553390811,310.79013175083,316.1553390811,306.59127384018,5053
2015-12-21,318.0214981525,316.1553390811,321.28727652745,314.52244989363,4952
2015-12-22,318.72130780428,320.12092710783,321.28727652745,316.85514873288,9841
2015-12-23,316.85514873288,318.72130780428,320.12092710783,316.85514873288,5599
2015-12-24,320.12092710783,317.32168850073,320.35419699175,317.32168850073,3362
2015-12-25,317.78822826858,320.12092710783,320.12092710783,317.0884186168,1208
2015-12-28,315.45552942933,317.78822826858,317.78822826858,315.45552942933,1899
2015-12-29,318.72130780428,315.45552942933,319.8876572239,315.92206919718,2772
2015-12-31,320.12092710783,320.12092710783,324.78632478632,319.65438733998,6711
2016-01-03,344.38099503602,325.71940432202,344.38099503602,325.71940432202,14289
2016-01-04,337.61616840219,344.38099503602,343.44791550032,329.45172246482,9473
2016-01-05,334.8169297951,332.017691188,339.94886724144,330.61807188445,6802
2016-01-06,328.2853730452,328.98518269697,331.31788153622,325.95267420595,2907
2016-01-07,336.44981898257,329.45172246482,339.24905758967,329.45172246482,4752
2016-01-10,327.11902362557,336.44981898257,336.44981898257,327.11902362557,3548
2016-01-11,331.31788153622,332.71750083977,335.05019967902,329.45172246482,6249
2016-01-12,332.25096107192,334.11712014332,335.28346956295,331.78442130407,4898
2016-01-13,331.78442130407,332.25096107192,334.35039002725,330.61807188445,5242
2016-01-14,337.38289851827,333.18404060762,338.78251782182,331.78442130407,4423
2016-01-17,343.44791550032,339.71559735752,343.44791550032,338.78251782182,19030
2016-01-18,340.88194677714,343.44791550032,347.41350352704,336.44981898257,8538
2016-01-19,339.48232747359,336.68308886649,341.11521666107,336.44981898257,2998
2016-01-20,337.61616840219,337.84943828612,338.78251782182,335.28346956295,6079
2016-01-21,342.28156608069,337.61616840219,343.44791550032,332.9507707237,4981
2016-01-24,343.21464561639,342.28156608069,343.44791550032,339.94886724144,4757
2016-01-25,343.44791550032,343.44791550032,349.51293248236,340.88194677714,7571
2016-01-26,338.78251782182,343.44791550032,343.21464561639,338.78251782182,3006
2016-01-27,335.51673944687,338.78251782182,339.94886724144,335.51673944687,3483
2016-01-28,336.91635875042,337.38289851827,337.61616840219,336.44981898257,1101
2016-01-31,335.28346956295,334.11712014332,336.44981898257,334.11712014332,1702
2016-02-01,338.78251782182,335.28346956295,339.48232747359,336.44981898257,823
2016-02-02,335.28346956295,341.11521666107,341.11521666107,334.35039002725,2797
2016-02-03,337.61616840219,335.28346956295,338.78251782182,335.51673944687,1537
2016-02-04,343.44791550032,338.78251782182,344.61426491994,337.61616840219,12298
2016-02-07,360.01007725899,343.44791550032,363.27585563393,345.78061433957,36030
2016-02-08,357.44410853581,360.01007725899,367.94125331243,355.11140969656,9586
2016-02-11,350.44601201806,357.44410853581,356.27775911619,348.11331317882,3769
2016-02-14,344.14772515209,350.44601201806,350.44601201806,343.44791550032,2907
2016-02-15,349.97947225021,344.61426491994,349.97947225021,340.88194677714,5240
2016-02-16,352.31217108946,349.97947225021,352.31217108946,343.91445526817,4317
2016-02-17,352.77871085731,352.31217108946,357.67737841974,348.11331317882,4385
2016-02-18,353.94506027694,352.77871085731,366.54163400888,348.11331317882,5800
2016-02-21,350.67928190199,360.01007725899,360.01007725899,350.44601201806,2151
2016-02-22,350.91255178591,353.94506027694,353.94506027694,349.27966259844,985
2016-02-23,351.61236143769,350.91255178591,351.61236143769,349.27966259844,2649
2016-02-25,345.78061433957,345.78061433957,345.78061433957,345.54734445564,300
2016-02-28,353.94506027694,345.78061433957,353.94506027694,345.78061433957,783
2016-02-29,352.54544097339,353.94506027694,352.54544097339,345.78061433957,3455
2016-03-01,349.74620236629,357.44410853581,357.44410853581,346.94696375919,12995
2016-03-02,352.31217108946,348.34658306274,353.94506027694,348.34658306274,1145
2016-03-03,353.94506027694,351.61236143769,354.41160004479,350.67928190199,5744
2016-03-06,357.44410853581,352.77871085731,360.94315679469,349.27966259844,10512
2016-03-10,362.10950621431,363.74239540178,364.20893516963,358.14391818759,11297
2016-03-13,364.44220505356,366.77490389281,366.77490389281,358.14391818759,9607
2016-03-14,361.40969656253,362.10950621431,364.90874482141,361.40969656253,11542
2016-03-15,361.64296644646,366.77490389281,365.60855447318,361.64296644646,950
2016-03-16,362.10950621431,362.10950621431,363.74239540178,358.84372783936,3459
2016-03-17,365.60855447318,362.10950621431,367.70798342851,359.77680737506,6614
2016-03-20,378.43839808905,370.74049191953,381.93744634793,370.74049191953,9397
2016-03-21,377.50531855335,385.20322472288,385.4364946068,377.50531855335,12290
2016-03-23,381.93744634793,378.67166797298,381.93744634793,378.20512820513,6499
2016-03-24,377.27204866943,381.93744634793,379.60474750868,377.27204866943,5119
2016-03-27,377.27204866943,377.27204866943,378.43839808905,371.90684133916,6303
2016-03-28,372.60665099093,377.27204866943,373.77300041055,369.57414249991,6429
2016-03-29,370.27395215168,369.10760273206,375.87242936588,369.10760273206,3507
2016-03-30,362.10950621431,370.27395215168,376.1056992498,357.67737841974,1389
